設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
北海道日産厚別店,北海道札幌市厚別区厚別東４条７丁目２－１０,011-898-3223,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ネッツトヨタ札幌　プラザあつべつ,北海道札幌市厚別区厚別西４条４丁目６番５号,011-801-2121,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　アンビシャス厚別通,北海道札幌市厚別区厚別西５条３丁目１－１０,011-801-4190,09:30 ～ 17:45,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　クルマックス厚別店,北海道札幌市厚別区厚別中央２条１丁目２番３３号,011-891-2644,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　厚別店,北海道札幌市厚別区厚別中央３条４－１－１,,10:00 ～ 20:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
北海道エネルギーチャレンジ手稲インターＳ,北海道札幌市手稲区西宮の沢四条１丁目２－７,011-661-2333,24時間営業,1,0,提携,ガソリンスタンド,エネゲート,,,
ラッキー星置駅前店,北海道札幌市手稲区星置一条２－１－１,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,
セイコーマート前田５条店,北海道札幌市手稲区前田５条１５－７－２５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
札樽自動車道　金山ＰＡ上り,北海道札幌市手稲区稲穂五条６－２０２－５２,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
札樽自動車道　金山ＰＡ下り,北海道札幌市手稲区稲穂四条７－７３－６,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
日産プリンス札幌手稲支店,北海道札幌市手稲区西宮の沢５条１丁目１１－１７,011-661-2211,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産手稲店,北海道札幌市手稲区新発寒５条１丁目１－６,011-665-6923,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
札幌トヨタ　手稲店,北海道札幌市手稲区富丘三条５－１－１,011-683-4111,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
ニトリ　宮の沢店,北海道札幌市手稲区西宮の沢４条２－１－８,,10:00 ～ 21:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
北海道三菱自動車販売（株）北野店,北海道札幌市清田区北野２条２丁目２０番４５号,011-882-6111,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
北海道三菱自動車販売（株）里塚店,北海道札幌市清田区里塚１条４丁目１５－１,011-882-0011,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
北海道エネルギー　チャレンジ羊ヶ丘通ＳＳ,北海道札幌市清田区清田２３４－１,011-887-3322,24時間営業,1,0,提携,ガソリンスタンド,エネゲート,,,
札幌トヨペット　美しが丘店,北海道札幌市清田区美しが丘４条５丁目２番１号,011-883-0066,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜。ＧＷ、年末年始など不定期に停止することがあります。充電時間１回３０分迄。詳細は店舗へお問合せください。
ファミリーマート　北野通店,北海道札幌市清田区北野２条１－１４－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート　札幌美しが丘店,北海道札幌市清田区美しが丘４条５－３－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
イオンモール札幌平岡,北海道札幌市清田区平岡３条５－３－１,011-889-5001,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
ネッツトヨタ札幌　里塚店,北海道札幌市清田区里塚１条２丁目２番１号,011-885-1110,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　ジョイック清田,北海道札幌市清田区真栄１条２丁目１－１２,011-883-4118,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　平岡店,北海道札幌市清田区平岡１条６－１－１,,10:00 ～ 20:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
テーオーデパート,北海道函館市梁川町１０－２５,03-6712-3150,10:00 ～ 18:30,1,0,提携,大規模小売店舗,エネゲート,,,【定休日等】元日のみ休業
函館トヨタ　レクサス函館,北海道函館市昭和４丁目２２－５,0138-45-0045,09:30 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
ファミリーマート　函館赤川１丁目店,北海道函館市赤川１丁目３１番１号,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ローソン恵山海浜公園店,北海道函館市高岱町３３－３,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
函館日産亀田本町店,北海道函館市亀田本町３７－９,0138-34-2323,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
函館日産神山店,北海道函館市神山２丁目４－３,0138-34-2323,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
函館日産石川店,北海道函館市石川町６０,0138-34-2323,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イエローグローブ南茅部店,北海道函館市川汲町１６３７,,09:00 ～ 19:00,1,0,提携,大規模小売店舗,日本ユニシス,,,
トヨタカローラ函館　海岸通店,北海道函館市広野町２－１,0138-52-2121,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
トヨタカローラ函館　新世橋店,北海道函館市中島町３８－８,0138-51-8171,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
トヨタカローラ函館　本店,北海道函館市昭和４丁目３６－３６,0138-40-2111,09:00 ～ 17:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
ネッツトヨタ函館　駅ＳｉＤｅ店,北海道函館市海岸町１９番１９号,0138-26-5411,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ函館　美原店,北海道函館市美原２丁目７番２４号　,0138-46-3131,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ函館　新道石川店,北海道函館市石川町２２５－４,0138-46-3131,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
函館トヨペット　湯川店,北海道函館市広野町２ー３,0138-51-1433,09:00 ～ 17:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
函館トヨペット　五稜郭店,北海道函館市梁川町１０－２０,0138-51-1111,09:00 ～ 17:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
函館トヨペット　石川店,北海道函館市石川町１６９－３５,0138-46-2110,09:00 ～ 17:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜日、第一月曜火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
